businessDate,openPrice,highPrice,lowPrice,previousDayClosePrice,fiftyTwoWeekHigh,lastTradedPrice,totalTradedQuantity,closePrice,EMA,MACD,Signal
2024-02-07,8.59,8.59,8.33,8.55,9.7,8.42,1800,8.42,8.42,0.0,0.0
2024-02-08,8.41,8.59,8.41,8.42,9.7,8.59,1700,8.59,8.446153846153846,0.013561253561254816,0.0027122507122509633
2024-02-11,8.45,8.45,8.45,8.59,9.7,8.45,1400,8.45,8.446745562130177,0.01286353195185086,0.004742506960170943
2024-02-12,8.3,8.45,8.3,8.45,9.7,8.45,4400,8.45,8.44724624487938,0.012170291010558998,0.006228063770248555
2024-02-13,8.3,8.46,8.3,8.45,9.7,8.46,5200,8.46,8.449208361051785,0.012286181543617047,0.0074396873249222535
2024-02-14,8.33,8.79,8.33,8.46,9.7,8.67,4380,8.67,8.483176305505356,0.028989102257053645,0.011749570311348533
2024-02-15,8.84,8.84,8.41,8.67,9.7,8.47,56500,8.47,8.481149181581456,0.025790660055250214,0.014557788260128868
2024-02-18,8.31,8.8,8.31,8.47,9.7,8.8,3200,8.8,8.530203153645846,0.04931563371417447,0.02150935735093799
2024-02-20,8.63,8.79,8.47,8.8,9.7,8.79,91435,8.79,8.570171899238794,0.06638715856131938,0.03048491759301427
2024-02-21,8.62,8.77,8.45,8.79,9.7,8.77,10500,8.77,8.600914683971286,0.07741029445510605,0.03986999296543263
2024-02-22,8.77,8.77,8.77,8.77,9.7,8.77,0,8.77,8.626927809514164,0.0851644858880718,0.04892889154996046
2024-02-25,8.6,8.6,8.6,8.77,9.7,8.6,2000,8.6,8.62278506958891,0.07670791808326705,0.05448469685662178
2024-02-26,8.44,8.48,8.29,8.6,9.7,8.29,2750,8.29,8.571587366575232,0.044478892958895955,0.05248353607707662
2024-02-27,8.29,8.3,8.15,8.29,9.7,8.15,4400,8.15,8.506727771717504,0.00755325910978577,0.04349748068361846
2024-02-28,8.01,8.3,8.01,8.15,9.7,8.3,6100,8.3,8.47492349914558,-0.009497345861566586,0.03289851537458145
2024-02-29,8.15,8.46,8.15,8.3,9.7,8.46,4000,8.46,8.472627576200107,-0.009984317325027803,0.024321948834659605
2024-03-03,8.3,8.3,8.03,8.46,9.7,8.03,1110,8.03,8.404531026015475,-0.044554060581871724,0.010546746951353339
2024-03-04,8.03,8.03,8.03,8.03,9.7,8.03,0,8.03,8.34691086816694,-0.07113087868245493,-0.005788778175408316
2024-03-05,8.11,8.66,8.11,8.03,9.7,8.66,2440,8.66,8.395078426910489,-0.04088615350561753,-0.012808253241450157
2024-03-06,8.49,8.49,8.17,8.66,9.7,8.18,1200,8.18,8.36198943815503,-0.05501480297099448,-0.021249563187359023
2024-03-07,8.04,8.2,8.03,8.18,9.7,8.2,4400,8.2,8.337067986131178,-0.06386186676328975,-0.029772023902545172
2024-03-10,8.05,8.4,8.05,8.2,9.7,8.3,2360,8.3,8.331365219034074,-0.06208834846080258,-0.03623528881419666
2024-03-12,8.14,8.6,8.01,8.3,9.7,8.55,7900,8.55,8.365001339182678,-0.04004826034961617,-0.036997883121280564
2024-03-13,8.4,8.5,8.4,8.55,9.7,8.41,900,8.41,8.371924210077651,-0.033492085785583825,-0.036296723654141216
2024-03-14,8.25,8.45,8.13,8.41,9.7,8.45,4010,8.45,8.383935870065706,-0.02478292240025226,-0.03399396340336343
2024-03-17,8.29,8.5,8.29,8.45,9.7,8.36,1000,8.36,8.380253428517136,-0.02485656450689966,-0.03216648362407068
2024-03-18,8.2,8.6,8.2,8.36,9.7,8.42,7010,8.42,8.386368285668345,-0.019844670835391653,-0.029702121066334877
