Section,Best_k,RMSE,Scaled_RMSE,iFMII_rank,p_value_nonlinear,iFMII
1,9.0,0.189716615,,,,
2,7.0,0.15802925,,,,
3,8.0,0.221070423,,,,
4,10.0,0.645562164,,,,
5,9.0,0.648061795,,,,
6,9.0,0.141469617,,,,
7,1.0,0.214228972,,,,
8,6.0,0.773941598,,,,
9,10.0,0.566727437,,,,
10,9.0,0.538724182,,,,
11,10.0,0.249080263,,,,
12,10.0,0.329260578,,,,
13,6.0,0.49096951,,,,
14,9.0,0.126013637,,,,
15,1.0,0.10309292,,,,
16,9.0,0.286140096,,,,
17,9.0,0.101975286,,,,
18,8.0,0.21168913,,,,
19,9.0,0.189169043,,,,
20,1.0,0.165490042,,,,
21,10.0,0.107150916,,,,
22,10.0,0.25512717,,,,
23,3.0,0.140909016,,,,
24,3.0,0.302089761,,,,
25,1.0,0.170701645,,,,
26,1.0,0.1584489,,,,
27,10.0,0.532966194,,,,
28,9.0,0.766375912,,,,
Overall iFMII,,,,,,0.315113271
Overall iFMII,,,,,,
