businessDate,openPrice,highPrice,lowPrice,previousDayClosePrice,fiftyTwoWeekHigh,lastTradedPrice,totalTradedQuantity,closePrice,EMA,MACD,Signal,Stable_Section
2024-02-08,8.1,8.1,8.1,8.1,10.39,8.1,300,8.1,8.1,0.0,0.0,1
2024-02-11,7.94,8.0,7.94,8.1,10.39,7.96,725,7.96,8.078461538461537,-0.0111680911680913,-0.0022336182336182,1
2024-02-12,7.96,8.11,7.89,7.96,10.39,8.11,12137,8.11,8.083313609467455,-0.007824936485905,-0.0033518818840756,1
2024-02-13,8.01,8.11,8.01,8.11,10.39,8.04,17631,8.04,8.076649977241694,-0.0107005282706769,-0.0048216111613958,1
2024-02-14,8.19,8.2,7.96,8.04,10.39,7.96,31800,7.96,8.058703826896817,-0.0192133078368588,-0.0076999504964884,1
2024-02-15,7.9,8.01,7.83,7.96,10.39,8.01,2850,8.01,8.051210930451152,-0.0216753054133622,-0.0104950214798632,1
2024-02-18,7.95,8.01,7.95,8.01,10.39,8.01,22800,8.01,8.04487078730482,-0.0233572088660256,-0.0130674589570957,1
2024-02-20,7.96,8.1,7.96,8.01,10.39,8.1,300,8.1,8.05335220464254,-0.0172292732934291,-0.0138998218243624,1
2024-02-21,7.95,7.95,7.8,8.1,10.39,7.8,3500,7.8,8.014374942389841,-0.0361634631064262,-0.0183525500807751,1
2024-02-22,7.8,7.81,7.51,7.8,10.39,7.81,2513,7.81,7.982932643560634,-0.0497881022692432,-0.0246396605184687,1
2024-02-25,7.67,7.8,7.67,7.81,10.39,7.8,325,7.8,7.954789159935921,-0.0606930121287794,-0.0318503308405309,1
2024-02-26,7.76,7.76,7.76,7.8,10.39,7.76,950,7.76,7.924821596868856,-0.071735969857718,-0.0398274586439683,1
2024-02-27,7.64,7.8,7.64,7.76,10.39,7.8,9225,7.8,7.905618274273648,-0.0763794726954021,-0.047137861454255,1
2024-02-28,7.71,7.71,7.71,7.8,10.39,7.71,750,7.71,7.875523155154624,-0.0863266105574585,-0.0549756112748957,1
2024-02-29,7.56,7.58,7.44,7.71,10.39,7.58,7250,7.58,7.830058054361605,-0.1035065435199529,-0.0646817977239072,1
2024-03-03,7.44,7.58,7.44,7.58,10.39,7.58,825,7.58,7.79158758445982,-0.1157870432082885,-0.0749028468207834,1
2024-03-04,7.58,7.58,7.58,7.58,10.39,7.58,0,7.58,7.759035648389078,-0.1240890068591706,-0.0847400788284609,1
2024-03-05,7.69,7.73,7.69,7.58,10.39,7.69,11703,7.69,7.748414779406143,-0.120404345823716,-0.0918729322275119,1
2024-03-06,7.71,7.73,7.71,7.69,10.39,7.73,301,7.73,7.745581736420583,-0.1129544906441015,-0.0960892439108298,1
2024-03-07,7.64,7.71,7.64,7.73,10.39,7.7,10600,7.7,7.738569161586647,-0.1082236412510235,-0.0985161233788686,1
2024-02-13,8.01,8.11,8.01,8.11,10.39,8.04,17631,8.04,8.076649977241694,-0.0107005282706769,-0.0048216111613958,2
2024-02-14,8.19,8.2,7.96,8.04,10.39,7.96,31800,7.96,8.058703826896817,-0.0192133078368588,-0.0076999504964884,2
2024-02-15,7.9,8.01,7.83,7.96,10.39,8.01,2850,8.01,8.051210930451152,-0.0216753054133622,-0.0104950214798632,2
2024-02-18,7.95,8.01,7.95,8.01,10.39,8.01,22800,8.01,8.04487078730482,-0.0233572088660256,-0.0130674589570957,2
2024-02-20,7.96,8.1,7.96,8.01,10.39,8.1,300,8.1,8.05335220464254,-0.0172292732934291,-0.0138998218243624,2
2024-02-21,7.95,7.95,7.8,8.1,10.39,7.8,3500,7.8,8.014374942389841,-0.0361634631064262,-0.0183525500807751,2
2024-02-22,7.8,7.81,7.51,7.8,10.39,7.81,2513,7.81,7.982932643560634,-0.0497881022692432,-0.0246396605184687,2
2024-02-25,7.67,7.8,7.67,7.81,10.39,7.8,325,7.8,7.954789159935921,-0.0606930121287794,-0.0318503308405309,2
2024-02-26,7.76,7.76,7.76,7.8,10.39,7.76,950,7.76,7.924821596868856,-0.071735969857718,-0.0398274586439683,2
2024-02-27,7.64,7.8,7.64,7.76,10.39,7.8,9225,7.8,7.905618274273648,-0.0763794726954021,-0.047137861454255,2
2024-02-28,7.71,7.71,7.71,7.8,10.39,7.71,750,7.71,7.875523155154624,-0.0863266105574585,-0.0549756112748957,2
2024-02-29,7.56,7.58,7.44,7.71,10.39,7.58,7250,7.58,7.830058054361605,-0.1035065435199529,-0.0646817977239072,2
