Section,Best_k,RMSE,Scaled_RMSE,iFMII_rank,p_value_nonlinear
1,9,0.3345664260775978,0.2607213876069929,9.0,0.3103448275862069
2,1,0.1693794221788302,0.1017623655767933,18.0,0.6206896551724138
3,9,0.4255604256108952,0.3482846754870349,7.0,0.2413793103448276
4,9,0.2326610470503238,0.16265810776374648,14.0,0.4827586206896552
5,9,0.2668900604193346,0.19559659784938924,13.0,0.4482758620689655
6,8,0.1840188444487021,0.11584984335762447,17.0,0.5862068965517241
7,9,0.2894445038558551,0.21730067980793064,12.0,0.41379310344827586
8,9,1.1028098228219392,1.0,1.0,0.034482758620689655
9,9,0.5937713470897605,0.5101536054996255,4.0,0.13793103448275862
10,9,0.0927787968070194,0.02804978402608702,28.0,0.9655172413793104
11,9,0.1564695103875442,0.08933919120832667,19.0,0.6551724137931034
12,9,0.5666948410481363,0.4840979545174873,5.0,0.1724137931034483
13,9,0.811379730466317,0.7195575839645938,2.0,0.06896551724137931
14,9,0.1276552194537698,0.06161127436728155,23.0,0.7931034482758621
15,9,0.1152373016353796,0.04966154451279252,26.0,0.896551724137931
16,9,0.145079529234015,0.07837864211926533,20.0,0.6896551724137931
17,9,0.1280733734172568,0.062013662833233014,22.0,0.7586206896551724
18,9,0.1077842747154578,0.042489516190990874,27.0,0.9310344827586207
19,9,0.4484257185416707,0.3702878871012945,6.0,0.20689655172413793
20,9,0.6826667523402338,0.5956974215873203,3.0,0.10344827586206896
21,9,0.1264026284502625,0.06040590931905191,25.0,0.8620689655172413
22,9,0.3455070375128934,0.27124950939091247,8.0,0.27586206896551724
23,9,0.0636300279979326,0.0,29.0,1.0
24,9,0.1365253344147766,0.07014696280655593,21.0,0.7241379310344828
25,9,0.212248629139695,0.1430152913692208,15.0,0.5172413793103449
26,8,0.126764186553086,0.060753835736236265,24.0,0.8275862068965517
27,2,0.2116017842390117,0.14239283421223495,16.0,0.5517241379310345
28,1,0.2920555963575324,0.21981332729653924,11.0,0.3793103448275862
Overall iFMII,,,0.2307603355538772,10.0,0.3448275862068966
