Income_per_month,Age,Rent_per_month,Loan_Repayment_per_month,Insurance_premium,Healthcare_cost_per_month,Education_cost_per_month,Desired_Savings_per_month,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Dependents_4,Occupation_Professional,Occupation_Retired,Occupation_Self_Employed,Occupation_Student,Risk_Tolerance
44637,49,13391,0,2206,1546,0,6200,1,0,0,0,0,0,0,1,0,0.03047259856797932
26858,34,5371,0,869,1137,1551,1923,0,0,1,0,0,0,1,0,0,0.017804036560372827
50367,35,7555,4612,2201,2178,3160,7050,0,1,0,0,0,0,0,0,1,0.050264560761681044
101455,21,15218,6809,4889,4571,0,16694,1,0,0,0,0,0,0,1,0,0.09830609690046285
24875,52,4975,3112,635,1169,1445,1874,0,0,0,0,1,1,0,0,0,0.020371277847326518
24875,57,4975,0,1038,1022,2003,1478,0,0,0,0,1,0,0,1,0,0.017850659566743313
106119,53,21223,0,4360,3807,0,18399,1,0,0,0,0,0,0,1,0,0.09458320024283642
55431,40,11086,8307,1755,2574,5520,6636,0,1,0,0,0,1,0,0,0,0.05824800661848295
20606,32,6182,3562,1018,830,1939,362,0,0,0,0,1,0,1,0,0,0.01796176119894533
46304,30,9260,0,2130,1649,3085,5615,0,1,0,0,0,0,0,0,1,0.033889965737050214
20706,31,3106,0,1031,819,0,1729,1,0,0,0,0,0,0,0,1,0.012783631555244295
20668,31,4133,0,754,1019,1506,1704,0,0,0,0,1,1,0,0,0,0.014954081298619365
36407,54,10922,4583,970,1153,1940,2743,0,0,0,1,0,0,1,0,0,0.030640242995141287
6492,22,973,0,184,222,590,464,0,0,0,1,0,0,1,0,0,0.002523594217160044
7547,39,1509,0,330,235,521,412,0,0,0,0,1,0,0,1,0,0.003131677257694284
19132,45,3826,2525,590,919,1442,1533,0,0,1,0,0,0,0,0,1,0.012211259753632131
13342,62,2668,2540,352,531,1043,1086,0,0,0,0,1,0,1,0,0,0.008915905984211665
38574,21,7714,0,1838,1196,3475,2666,0,0,0,0,1,1,0,0,0,0.026967937259321128
14509,55,4352,829,438,656,1449,1049,0,0,0,0,1,0,0,0,1,0.009570612031116393
9692,46,1938,0,217,305,0,505,1,0,0,0,0,1,0,0,0,0.0036088190888475787
96903,54,19380,9481,3585,3956,6227,13125,0,0,0,0,1,0,1,0,0,0.09015996651079372
25042,52,5008,2898,914,1066,1470,1439,0,0,0,0,1,0,0,1,0,0.018852558214279336
31665,37,9499,0,1034,1579,0,2164,1,0,0,0,0,0,0,0,1,0.022020938689754643
9596,52,1919,0,320,417,540,522,0,0,0,0,1,0,1,0,0,0.004182182869318689
19408,52,5822,2832,516,592,1604,826,0,0,0,1,0,0,1,0,0,0.012381880117370939
32783,37,6556,0,946,1175,2225,3073,0,0,0,1,0,1,0,0,0,0.02264191745545519
11946,19,2389,0,413,404,782,670,0,0,0,0,1,0,0,0,1,0.005407276760117688
40518,35,6077,0,1992,1221,0,5993,1,0,0,0,0,0,1,0,0,0.02654039437111516
18554,47,3710,1192,916,795,1575,1793,0,0,0,0,1,0,0,1,0,0.011073460002420429
23756,59,4751,0,537,1068,2353,1502,0,0,0,0,1,0,0,0,1,0.017325902750360583
18538,46,3707,3359,874,746,1722,1734,0,1,0,0,0,1,0,0,0,0.01303261824883988
132028,56,19804,0,4383,5860,8512,24469,0,0,1,0,0,0,0,1,0,0.128001976021887
29677,39,8903,2892,1002,1046,0,1527,1,0,0,0,0,0,1,0,0,0.022347299734348063
12871,46,2574,0,396,556,1265,1139,0,0,1,0,0,0,1,0,0,0.0067434722831187024
