businessDate,openPrice,highPrice,lowPrice,previousDayClosePrice,fiftyTwoWeekHigh,lastTradedPrice,totalTradedQuantity,closePrice,EMA,MACD,Signal,Stable_Section
2024-01-01,8.26,8.47,8.15,8.26,9.55,8.21,7550,8.21,8.26167046,0.004421564732,0.004021742026,1
2024-01-02,8.21,8.3,8.16,8.21,9.55,8.16,11225,8.16,8.246028851,-0.004016422604,0.0024141091,1
2024-01-03,8.16,8.32,8.0,8.16,9.55,8.17,7000,8.17,8.234332104,-0.009783889348,-2.55e-05,1
2024-01-04,8.01,8.33,8.01,8.17,9.55,8.3,22825,8.3,8.244434857,-0.003820692189,-0.0007845309098,1
2024-01-07,8.2,8.25,8.09,8.3,9.55,8.15,9924,8.15,8.229906418,-0.01107094294,-0.002841813315,1
2024-01-08,8.03,8.47,7.99,8.15,9.55,8.47,41325,8.47,8.266843892,0.008901891297,-0.0004930723929,1
2024-01-09,8.63,8.63,8.15,8.47,9.55,8.35,17875,8.35,8.279637139,0.01487602762,0.002580747609,1
2024-01-10,8.19,8.27,8.19,8.35,9.55,8.27,6500,8.27,8.278154503,0.01300532499,0.004665663086,1
2024-01-11,8.43,8.75,8.21,8.27,9.55,8.46,19950,8.46,8.306130733,0.02654816111,0.009042162691,1
2024-01-14,8.3,8.55,8.3,8.46,9.55,8.49,16356,8.49,8.334418313,0.0392492645,0.01508358305,1
2024-01-16,8.65,8.79,8.17,8.49,9.55,8.3,27195,8.3,8.329123188,0.0335962912,0.01878612468,1
2024-01-17,8.45,8.45,8.31,8.3,9.55,8.32,16650,8.32,8.32771962,0.0303799014,0.02110488002,1
2024-01-18,8.2,8.3,8.2,8.32,9.55,8.2,2200,8.2,8.308070448,0.0179410786,0.02047211974,1
2024-01-21,8.2,8.36,8.2,8.2,9.55,8.35,16120,8.35,8.314521148,0.01995691739,0.02036907927,1
2024-01-22,8.51,8.51,8.25,8.35,9.55,8.39,12875,8.39,8.326133279,0.0244997322,0.02119520986,1
2024-01-23,8.55,9.01,8.49,8.39,9.55,8.49,3380,8.49,8.351343544,0.03575692635,0.02410755315,1
2024-01-24,8.33,8.65,8.08,8.49,9.55,8.25,29925,8.25,8.33575223,0.02502387986,0.0242908185,1
